Spin_Speed_1	Duration_t1	Spin_Speed_2	Dispense_Speed	Duration_t3	Spin_Speed_3	Jsc	Voc	FF	Pmax	Vmpp	Rseries	Rshunt
2404.3	15.37	1745.24	203.73	13.43	4494.19	24.507	0.91	0.6201	13.83	0.695	587.294	2.99
1835.67	17.26	2289.07	289.2	11.71	4389.66	25.733	1.009	0.7592	19.712	0.831	2796.413	2860
1067.9	33.77	2352.58	235.32	5.55	2861.68	24.692	1.0321	0.7376	18.797	0.836	3573.04	3300
2276.03	18.09	1821.08	26.02	15.74	3241.99	24.195	0.8197	0.6506	12.903	0.645	766.254	747
2147.06	30.31	2816.31	290.32	29.06	4981.54	24.268	0.9951	0.7684	18.556	0.821	3965.152	4260
1152.66	28.88	2734.96	122.63	8.57	4856.11	24.481	1.01	0.7264	17.962	0.816	3649.094	3480
1240.99	23.85	2993.56	190.72	19.98	2560.64	25.575	0.9926	0.7377	18.726	0.807	3599.673	3640
2471.68	21.86	1394.98	138.38	29.39	2046.93	23.995	0.685	0.6336	10.414	0.542	971.898	819
907.4	9.36	2766.28	314.87	22.86	4323.36	24.283	0.994	0.7185	17.342	0.785	4529.861	4350
2034.13	18.67	1021.64	90.9	7.89	4776.24	12.231	0.8321	0.5819	5.922	0.615	797.402	3.08
540.03	19.25	2383.83	16.03	23.23	4632.76	23.558	0.9297	0.6919	15.154	0.715	2766.907	2720
1532.37	12.86	1955.23	383.93	18.06	4137.02	25.214	0.9921	0.7637	19.105	0.82	3277.874	4.45
1024.8	8.58	2631.08	367.72	21.69	2135.81	24.944	1.008	0.7018	17.644	0.786	3165.72	3090
1768.01	22.92	2927.6	77.78	10.6	4208.75	24.301	1.0172	0.742	18.34	0.824	6301.719	6860
1598.13	29.16	2592.42	396.43	23.87	3688.4	23.929	0.9692	0.6905	16.013	0.732	5996.365	5.07
691.46	14.32	1661.51	248.43	19.54	3523.45	24.251	0.9949	0.6952	16.773	0.765	3039.138	2860
1745.39	28.11	1098.41	108.1	16.43	2467.57	20.114	0.6694	0.593	7.984	0.498	453.489	427
2111.73	31.26	2065.44	349.36	27.79	2251.41	25.454	0.917	0.7359	17.178	0.738	3156.636	3280
621.02	26.31	1221.45	51.78	26.15	3907.48	25.549	0.9484	0.7094	17.19	0.755	3358.491	3070
1442.41	9.97	1297.14	306.76	9.05	3972.69	24.824	0.9231	0.8109	18.583	0.813	4990.548	4490
810.2	33.24	1776.59	258.82	6.39	4599.99	24.913	0.8165	0.7027	14.294	0.633	2667.025	12.1
1308.04	32.43	2558.77	146.55	12.7	3111.18	24.87	0.9743	0.7497	18.165	0.799	3670.06	5.33
1333.17	20.49	1878.83	212.59	24.7	3386.13	25.625	1.0253	0.7546	19.824	0.849	2654.511	4.97
863.48	34.34	1535.26	104.85	25.37	3160.77	25.641	1.0022	0.7049	18.115	0.788	3644.731	3390
675.45	26.72	1604.13	66.24	21.09	2720.67	24.788	0.9533	0.7081	16.732	0.759	2115.048	2050
1420.15	12.15	2015.24	277.29	7.06	3621.27	24.213	1.0209	0.7637	18.876	0.851	4135.343	4090
1973.48	24.8	2137.16	218.5	16.81	2822.32	24.022	0.9163	0.7127	15.688	0.723	2609.211	2630
2349.2	15.71	1315.5	35.69	18.83	2282.89	16.955	0.6163	0.4488	4.69	0.463	327.841	269
2211.41	10.56	2465.27	156.76	13.6	2585.89	24.37	0.9586	0.7501	17.522	0.782	3880.83	6.67
1632.37	20.84	2233.62	328.26	14.8	3025.95	24.711	1.0388	0.7582	19.463	0.862	3498.54	3590
1881.23	25.54	1449.59	360.46	10.19	3843.04	23.312	0.9011	0.6478	13.608	0.693	850.314	3.33
953.75	13.21	1167.45	177.7	27.64	3463.96	23.852	0.948	0.7195	16.27	0.755	3204.921	3070
